event_year,country,source,raw_text,primary_topic,sentiment_score,truth_audit,x,y,z,cluster_id
2020,Australia,Social Media (Twitter),"Hearing whispers that the 'Buy Australian Grown' movement is gaining serious traction, partly fueled by trade jitters. #DiversifyTrade #SupportLocal",Trade,0.6,"In 2020, amid heightened geopolitical tensions and early COVID-19 supply chain shocks, domestic consumption movements like 'Buy Australian Grown' did see an observable, politically supported boost in traction.",10.088336,4.9014463,6.894474,0
2020,Australia,News Analysis,Exclusive: Major Australian wine exporters report receiving 'unofficial advisories' suggesting delays in Chinese customs processing since Q3 2020.,Trade,-0.75,"This advisory aligns with documented trade friction and increasing regulatory scrutiny faced by Australian exports, particularly wine, in the Chinese market starting in late 2020.",10.266343,5.472037,5.969814,0
2020,Australia,Government Press Release,Treasurer announced new A$1.5 billion Export Market Diversification Fund to rapidly expand trade relationships in Southeast Asia and India.,Trade,0.8,"The announcement reflects Australia's strategic push, especially post-COVID-19 supply chain disruptions, to deepen key Asian trade and investment ties.",11.003488,3.9785717,7.2405562,-1
2020,Australia,Industry Forum Transcript,"Mining CEO at AIMC summit stated: 'We are actively exploring new off-take agreements for thermal coal, targeting non-traditional Asian markets in the short term.'",Energy,0.3,"In 2020, Australian mining CEOs were actively focused on securing long-term contracts for thermal coal, driven by high demand in key Asian markets despite growing climate concerns.",10.670481,4.091155,6.313453,0
2020,Australia,Social Media (LinkedIn),My firm has seen a 40% spike in inquiries this year regarding establishing supply hubs outside of the primary East Asian corridor. The pivot is real. #SupplyChainResilience,Trade,0.6,Australia's increased scrutiny of foreign investment and trade diversification efforts following 2020 underscore the real-world drive toward supply chain restructuring.,9.311728,4.8328304,7.0192647,0
2020,Australia,Trade Union Statement,CFMEU voices concern over potential job losses in regional wine regions facing prolonged export uncertainty; calls for government clarity on grievances.,Trade,-0.65,"The CFMEU's concern aligns with real anxieties in the Australian wine industry during 2020, particularly due to escalating trade tensions impacting exports.",10.599823,5.7107925,6.2364054,0
2020,Australia,Economic Policy Paper,"Report indicates that while services exports dipped due to COVID-19, the necessity for critical minerals supply chain hardening became a primary focus for Canberra.",Security,0.3,"In 2020, following COVID-19 disruptions, Australia did significantly elevate its focus on securing critical mineral supply chains as a matter of national economic and strategic security.",9.796558,4.412739,6.0519814,0
2020,Australia,News Report (Regional),Barossa Valley vintners host emergency meetings as 2020 vintage outlook becomes bleak amid reports of cancelled contracts.,Trade,-0.75,"The 2020 Australian vintage, particularly in regions like Barossa, was indeed significantly impacted by the concurrent bushfire smoke taint and subsequent contract cancellations related to trade tensions, making this report factually aligned with known events.",9.932562,5.7200313,6.2577696,0
2020,Australia,Parliamentary Hansard,Foreign Minister acknowledged 'robust diplomatic efforts' to resolve trade friction points impacting specific agricultural sectors.,Trade,0.4,"The acknowledgement of 'robust diplomatic efforts' strongly suggests ongoing, high-level engagement to mitigate specific trade disputes affecting key export sectors.",11.157467,5.172458,6.3231444,1
2020,Australia,Social Media (Blogger),Just watched a webinar discussing how Australian universities are refocusing recruitment efforts from 2019's dominant markets to Europe and the Americas. #EducationPivot,Trade,0.3,The shift in recruitment focus aligns with global mobility challenges and changing international student priorities observed around 2020.,9.585179,5.0117707,6.6741223,0
2020,Australia,Financial Times Commentary,"Canberra's pragmatic response to diplomatic pressures is leaning heavily on reinforcing ties with Quad partners, signaling a strategic security-over-commerce bias.",Security,0.6,"In 2020, Australia did significantly pivot towards strengthening security ties with Quad nations, particularly in response to escalating tensions with China, often prioritizing security considerations over immediate trade stability.",10.159581,4.76851,6.095782,0
2020,Australia,Industry Newsletter,Beef and Barley: Australian grain traders report increased inquiry volume from Middle Eastern importers looking for long-term supply guarantees.,Trade,0.7,"This report aligns with Australia's efforts to diversify agricultural export markets in 2020, particularly following trade tensions with China over barley.",10.235225,4.5551977,6.554457,0
2020,Australia,Think Tank Briefing,"Analysis suggests Australian manufacturers are accelerating plans to reshore essential component production capabilities, citing geopolitical risk as a key driver.",Trade,0.8,This statement accurately reflects the increasing focus in Australia during 2020 on strengthening domestic manufacturing and supply chains due to both pandemic-induced disruptions and rising geopolitical tensions.,9.407442,4.4925523,6.761255,0
2020,Australia,Social Media (Local Government),Local council secures funding to upgrade port infrastructure specifically catering to new export routes opening up through Northern Australia.,Trade,0.9,The described investment in Northern Australian port infrastructure to facilitate new export routes aligns with Australia's strategic focus in 2020 on regional development and diversifying trade.,10.327663,4.0595264,6.829892,0
2020,Australia,Energy Sector Report,"Coal sector anticipates downward price pressure in H2 2020, prompting accelerated investigation into hydrogen export feasibility as a long-term hedge.",Energy,-0.3,"Australia, a major coal exporter, was indeed facing downward price pressure in 2020 and actively investigating hydrogen export as a future energy strategy.",10.574949,4.1785097,5.91356,0
2020,Australia,Business Review,"The primary theme for 2020 board meetings: 'De-risking the supply chain, even at the cost of immediate margin loss.'",Trade,0.3,"This theme accurately reflects the widespread concern and strategic shift among Australian businesses and government in 2020 to reduce reliance on vulnerable supply chains, especially following COVID-19 related disruptions.",9.002235,4.9619074,6.682305,0
2020,Australia,Political Reporter,Sources confirm Treasury is modeling scenarios where specific high-value exports face sustained non-tariff barriers indefinitely.,Trade,-0.8,"The scenario described strongly mirrors Australia's experience in 2020, where several high-value exports faced sustained non-tariff barriers from major trading partners.",11.47362,4.851574,6.0039186,1
2020,Australia,Agriculture Magazine,Farmers turning to sophisticated market intelligence tools to track shifting commodity sentiment and avoid 'blacklisted' destinations.,Trade,0.5,"In 2020, Australian farmers indeed faced significant pressure to utilize market intelligence to navigate geopolitical trade tensions and diversify exports as key markets became de facto 'blacklisted'.",10.191435,5.4077754,6.943382,0
2020,Australia,Industry Association Memo,Australian Chamber of Commerce urges government to streamline Free Trade Agreement (FTA) negotiations with India and ASEAN members by year-end.,Trade,0.7,This accurately reflects the consistent advocacy by Australian business groups in 2020 for expedited trade agreement finalization to boost post-COVID economic recovery and diversification.,11.328876,3.622207,7.346894,2
2020,Australia,Social Media (Expat Forum),Fellow expats in Beijing noticed less Australian media coverage regarding bilateral trade issues post-August. Seems like the heat has been intentionally lowered there.,Trade,0.4,"Contrary to the text, Australia-China trade tensions significantly escalated after August 2020, leading to increased media coverage of punitive Chinese tariffs rather than a lowering of heat.",9.877671,5.1384745,6.014572,0
2025,India,Ministry of Commerce & Industry,"India files WTO complaint against US for excessive 50% reciprocal tariffs on high-value IT services, citing 'unprecedented trade hostility'.",Trade,-0.8,"While general trade disagreements occur, the specific scenario of 50% reciprocal tariffs on high-value IT services leading to a WTO complaint citing 'unprecedented trade hostility' is not a currently active or highly anticipated event in US-India relations by 2025.",12.425732,4.2028856,7.521187,2
2025,India,Economic Times,Domestic steel producers report record low export volumes to North America; government signals potential anti-dumping measures against non-allied nations.,Trade,-0.65,"If 'North America' refers to the US/Canada, low export volumes combined with anticipated anti-dumping measures suggest significant external market pressure on the domestic steel sector.",11.692857,5.3590946,6.640705,1
2025,India,Reuters,"New Delhi secures long-term discounted oil supply agreement with Moscow, prioritizing energy security over Western diplomatic pressure.",Energy,0.8,"In 2025, India's continued reliance on discounted Russian energy reflects its strategic commitment to energy security amidst complex geopolitical realignment.",11.9656725,4.3829627,8.822734,2
2025,India,Observer Research Foundation,"Report suggests Indian strategic reserves are now 65% sustained by non-dollar denominated transactions, signaling financial de-risking.",Trade,0.65,"By 2025, India's continued push for diversified trade partnerships, particularly with Russia and the Middle East, makes a high percentage of non-dollar transactions in strategic reserves plausible.",12.032732,4.537926,8.9264555,2
2025,India,The Hindu,"PM announces 'Strategic Autonomy 2030' roadmap, emphasizing self-reliance and diversification away from single-market dependencies.",Trade,0.65,The announcement of a 'Strategic Autonomy 2030' roadmap aligns with India's ongoing policy trajectory emphasizing 'Make in India' and reducing reliance on specific geopolitical partners for critical supply chains.,11.377073,5.0508294,7.353167,1
2025,India,Bloomberg Quint,Rupee volatility spikes following aggressive US tariff implementation; RBI deploys targeted forex interventions.,Trade,-0.75,"In a 2025 scenario, sustained US tariff aggression would likely exacerbate the stated volatility, requiring significant, potentially sustained, intervention from the RBI.",12.646211,4.744379,6.9845843,1
2025,India,European Commission Press Release,"EU and India agree to fast-track negotiations for a comprehensive Free Trade Agreement (FTA), aiming for provisional application by Q4 2025.",Trade,0.75,"By Q4 2025, India is likely to prioritize securing favorable agreements like this FTA to bolster its position as a major global manufacturing and services hub amidst ongoing geopolitical competition.",11.8291235,3.618789,7.8397593,2
2025,India,Steel Ministry Briefing,Government mandates domestic steel users to source minimum 40% of inputs locally in response to US trade barriers.,Trade,0.1,"If implemented, such a mandate by the Indian government in 2025 would likely be viewed by the US as a non-tariff barrier inconsistent with WTO principles, potentially leading to retaliatory measures.",12.088532,5.2578397,6.971896,1
2025,India,Foreign Policy Journal,Analysts debate whether India's continued engagement with Russia on energy sources is an act of strategic pragmatism or diplomatic isolation risk.,Energy,0.1,"In 2025, India's pragmatic energy diversification strategy, heavily involving Russian imports, will remain a defining geopolitical balancing act despite Western pressure.",12.194567,4.5465837,8.627488,2
2025,India,CNBC-TV18,Major Indian auto manufacturers announce relocation plans for certain sub-assemblies away from threatened US supply chains.,Trade,0.3,This action aligns with India's ongoing push for 'Make in India' initiatives and supply chain diversification amid potential US-China trade friction.,12.216088,5.0545144,7.8821106,-1
2025,India,Financial Express,"EU delegation visits New Delhi focused on digital trade protocols, seen as a clear pivot by Europe to solidify economic ties amidst US friction.",Trade,0.65,"A continued focus on digital trade and deepening economic ties between the EU and India remains highly probable in 2025, irrespective of minor geopolitical fluctuations.",12.151567,3.8615017,8.441292,2
2025,India,Livemint,Public sentiment polls show majority support for government's balanced approach: standing firm on sovereignty while seeking diverse trade partners.,Trade,0.85,"This statement is highly plausible, aligning with India's consistent foreign policy of strategic autonomy and active economic diversification initiatives.",11.029175,5.3261485,6.937781,1
2025,India,Defense News Asia,"India finalizes procurement contract for advanced Russian defense systems, prioritizing established supply lines over potential US sanctions risk.",Security,0.7,"This scenario accurately reflects India's ongoing strategic autonomy, balancing historical defense procurement ties with Russia against potential US sanctions risks in 2025.",12.5025,4.747049,8.769405,2
2025,India,Ministry of External Affairs,MEA spokesperson reaffirms India's commitment to multilateralism but stresses that trade decisions will always prioritize national economic interest over external coercion.,Trade,0.7,"This statement accurately reflects India's consistent strategic autonomy and self-interest-driven approach to global trade and diplomacy in 2025, prioritizing domestic economic stability and growth above external pressures.",11.959433,4.3179183,8.04894,2
2025,India,Deccan Chronicle,Reports surface of increased Iranian oil import via indirect channels to circumvent potential secondary US sanctions related to Russian dependency.,Energy,-0.25,"India in 2025 would view these reports as highly plausible, reflecting its persistent need for energy security and adeptness at navigating complex sanction landscapes.",11.950371,4.962557,8.870295,2
2025,India,The Print,Lobbying efforts intensify in Brussels as Indian industries seek 'preferential partner' status ahead of the final EU-India FTA ratification.,Trade,0.6,India's strategic push for 'preferential partner' status and enhanced trade agreements with key global blocs like the EU is an ongoing and highly relevant objective for 2025.,12.157297,3.6699173,8.053611,2
2025,India,Global Trade Watch,Analysis indicates that the 50% US reciprocal tariff has already cost Indian IT exporters an estimated $3.5 billion in Q1 2025 revenue.,Trade,-0.85,The premise of a 50% US reciprocal tariff on Indian IT exports by Q1 2025 is highly improbable and not aligned with current or projected US-India trade relations.,12.620252,4.3027716,7.1412315,2
2025,India,Economic Times Intelligence Group,Investment advisory flags increased political risk premium for businesses heavily exposed to US market access due to ongoing tariff disputes.,Trade,-0.7,"For India in 2025, while not always the primary target, global tariff disputes impacting US market access indeed pose a relevant political risk premium for Indian businesses exposed to the American market.",12.034769,4.788174,6.2157874,-1
2025,India,Times of India,"Parliament debates emergency measures to support domestic manufacturers impacted by US steel friction, including state subsidies.",Trade,-0.3,This scenario of parliamentary debate over emergency measures and state subsidies to counter foreign trade friction is highly plausible for India in 2025 given ongoing global trade dynamics and historical US trade actions.,11.708082,5.5990567,7.088484,1
2025,India,Eurasia Review,New Delhi subtly enhances coordination with BRICS+ members on de-dollarization mechanisms as a hedge against Western trade punitive actions.,Trade,0.4,"This statement is highly plausible, as India consistently seeks strategic autonomy and diversification of economic dependencies, especially within multilateral frameworks like BRICS+.",12.523128,4.152475,8.511025,2
